"address","business_name","business_type","precinct","live_date","geom"
"15201 E 7 Mile Rd","Sunoco","Retail","9.0","2/11/2016 00:00:00-04","0101000020E6100000D238D4EFC2BD54C0ACAC6D8AC7374540"
"12800 E 7 Mile Rd","Clark","Retail","9.0","3/11/2016 00:00:00-04","0101000020E610000092239D8191BF54C0CD3E8F519E374540"
"7635 W Vernor Hwy","Paul's Pizza","Retail","4.0","9/11/2016 00:00:00-05","0101000020E6100000DCA16131EAC754C02C80290307284540"
"7631 W Vernor Hwy","Sherry's on Vernor","Retail","4.0","9/11/2016 00:00:00-05","0101000020E610000066BFEE74E7C754C0901150E108284540"
"7633 W Vernor Hwy","Cricket Wireless","Services","4.0","9/11/2016 00:00:00-05","0101000020E6100000B8E52329E9C754C08597E0D407284540"
"13601 W McNichols Rd","Citgo","Retail","2.0","10/11/2016 00:00:00-05","0101000020E6100000B340BB438ACB54C04774CFBA46354540"
"14340 W McNichols Rd","Southern Smokehouse","Retail","12.0","15/11/2016 00:00:00-05","0101000020E61000000ADB4FC6F8CB54C0FD14C78157354540"
"6835 Michigan Ave","Super Dollar Store","Retail","4.0","18/11/2016 00:00:00-05","0101000020E61000003430F2B226C854C0139ED0EB4F2A4540"
"14204 W 7 Mile Rd","McDonald's","Retail","12.0","21/11/2016 00:00:00-05","0101000020E61000000E3D0A02E4CB54C0B29FBCC030374540"
"9939 E Jefferson Ave","Riviera Auto Service","Services","7.0","22/11/2016 00:00:00-05","0101000020E6100000836DC493DDBE54C048A5D8D1382E4540"
"20400 Grand River Ave","Sunoco","Retail","8.0","29/11/2016 00:00:00-05","0101000020E6100000E7C8CA2F83CF54C0B613252191344540"
"20001 Schoolcraft Ave","Sonny's Hamburgers","Retail","6.0","1/12/2016 00:00:00-05","0101000020E61000000D7041B62CCF54C0E7C2482F6A314540"
"10520 E Jefferson Ave","Eastown","Retail","5.0","1/12/2016 00:00:00-05","0101000020E6100000DA37F7578FBE54C0AD4CF8A57E2E4540"
"2847 E 7 Mile Rd","Global Mobile","Retail","11.0","1/12/2016 00:00:00-05","0101000020E61000007094BC3AC7C454C00EA320787C374540"
"2867 E 7 Mile Rd","Scotch Castle Liquor Land","Retail","11.0","1/12/2016 00:00:00-05","0101000020E6100000D252793BC2C454C0386A85E97B374540"
"2819 E 7 Mile Rd","New Merchant Food Center","Retail","11.0","1/12/2016 00:00:00-05","0101000020E61000001EA5129ED0C454C00070ECD973374540"
"18000 Livernois Ave","Savon Foods","Retail","12.0","2/12/2016 00:00:00-05","0101000020E61000002979758E01C954C02FA704C424364540"
"15700 Livernois Ave","Uptown BBQ & Soulfood","Retail","12.0","6/12/2016 00:00:00-05","0101000020E61000005E9D6340F6C854C082C7B7770D344540"
"15401 Joy Rd","Benchmark Party Shoppe","Retail","2.0","7/12/2016 00:00:00-05","0101000020E61000002332ACE28DCC54C062307F85CC2D4540"
"13676 Grand River Ave","McDonald's","Retail","2.0","7/12/2016 00:00:00-05","0101000020E610000067D47C957CCB54C0647616BD53314540"
"9130 Linwood St","Valero","Retail","10.0","8/12/2016 00:00:00-05","0101000020E6100000278925E5EEC654C0850662D9CC2F4540"
"1715 Michigan Ave","Marathon","Retail","3.0","8/12/2016 00:00:00-05","0101000020E6100000A019C40776C454C00FB743C3622A4540"
"10100 E 8 Mile Rd","Bel-Air Luxury Cinema","Services","11.0","9/12/2016 00:00:00-05","0101000020E61000004EB7EC10FFC054C0A08CF161F6384540"
"19840 Van Dyke Rd","McDonald's","Retail","11.0","12/12/2016 00:00:00-05","0101000020E6100000F0C000C287C154C02DEDD45C6E384540"
"17256 W 7 Mile Rd","Lindsay Food & Drug","Retail","8.0","14/12/2016 00:00:00-05","0101000020E61000006614CB2DADCD54C04243FF0417374540"
"17121 Livernois Ave","McDonald's","Retail","12.0","15/12/2016 00:00:00-05","0101000020E6100000172B6A300DC954C0274A42226D354540"
"20354 W 7 Mile Rd","Boost Mobile","Services","8.0","19/12/2016 00:00:00-05","0101000020E61000008F5033A48ACF54C02288F37002374540"
"12930 E 7 Mile Rd","Super Clean Coin Laundry","Services","9.0","20/12/2016 00:00:00-05","0101000020E61000009FCBD42478BF54C004E8F7FD9B374540"
"11250 E Jefferson Ave","Parkway Foods","Retail","5.0","21/12/2016 00:00:00-05","0101000020E610000092E7FA3E1CBE54C061C5A9D6C22E4540"
"10450 Shoemaker St","Wonder Foods","Retail","5.0","21/12/2016 00:00:00-05","0101000020E6100000003B376DC6BF54C0B2BAD573D2314540"
"21740 W McNichols Rd","Sunoco","Retail","8.0","27/12/2016 00:00:00-05","0101000020E61000007C43E1B375D054C0679E5C5320354540"
"11320 Dexter Ave","Barrel & Bottle Party Shoppe","Retail","10.0","27/12/2016 00:00:00-05","0101000020E61000007D93A641D1C754C0957CEC2E50304540"
"10300 Mack Ave","Mack & Bewick Market","Retail","5.0","28/12/2016 00:00:00-05","0101000020E61000003D7C992842BF54C0BD6E1118EB2F4540"
"15801 W McNichols Rd","Summit Medical Center","Services","8.0","29/12/2016 00:00:00-05","0101000020E6100000AEBCE47FF2CC54C09EB5DB2E34354540"
"19900 Conant St","Pelzer's Party Shoppe","Retail","11.0","3/1/2017 00:00:00-05","0101000020E6100000B1170AD80EC554C05DA5BBEB6C384540"
"8139 E 7 Mile Rd","7 Mile Food","Retail","11.0","4/1/2017 00:00:00-05","0101000020E6100000DF32A7CB62C154C09510ACAA97374540"
"1001 E Warren Ave","Mobil","Retail","7.0","5/1/2017 00:00:00-05","0101000020E6100000E06932E36DC354C0F29716F5492E4540"
"8059 Grand River Ave","New Quick Stop Market","Retail","10.0","17/1/2017 00:00:00-05","0101000020E61000001903EB387EC754C0268FA7E5072E4540"
"12750 Schaefer Hwy","Sunoco","Retail","2.0","19/1/2017 00:00:00-05","0101000020E61000008044132862CB54C0C075C58CF0304540"
"18300 Morang Ave","Citgo","Retail","9.0","19/1/2017 00:00:00-05","0101000020E610000059F9653046BD54C012859675FF364540"
"11030 Morang Ave","Zoom","Retail","9.0","23/1/2017 00:00:00-05","0101000020E6100000F888981249BC54C03E42CD902A364540"
"7945 Charlevoix St","Janes Market","Retail","7.0","23/1/2017 00:00:00-05","0101000020E610000036069D103AC054C0E8F9D346752E4540"
"10200 Rosa Parks Blvd","Clark","Retail","10.0","26/1/2017 00:00:00-05","0101000020E610000063F030ED9BC654C0CBBBEA01F3304540"
"14421 Plymouth Rd","Club Celebrity","Services","2.0","31/1/2017 00:00:00-05","0101000020E610000019709692E5CB54C0213B6F63B32F4540"
"18330 W Chicago Blvd","Seaway Market Place","Retail","6.0","31/1/2017 00:00:00-05","0101000020E6100000CF30B5A50ECE54C085ECBC8DCD2E4540"
"14545 Plymouth Rd","Zoom","Retail","2.0","8/2/2017 00:00:00-05","0101000020E6100000630CACE3F8CB54C04C361E6CB12F4540"
"1131 W Warren Ave","University Foods","Retail","3.0","9/2/2017 00:00:00-05","0101000020E610000071AE6186C6C454C02E8D5F78252D4540"
"20324 W McNichols Rd","Soft Cloth Car Wash","Services","8.0","13/2/2017 00:00:00-05","0101000020E610000016FC36C478CF54C08670CCB227354540"
"19115 Plymouth Rd","Soft Cloth Car Wash","Services","6.0","14/2/2017 00:00:00-05","0101000020E6100000FF5E0A0F9ACE54C05A12A0A6962F4540"
"20131 Grand River Ave","Soft Cloth Car Wash","Services","8.0","15/2/2017 00:00:00-05","0101000020E61000001E32E54350CF54C051BD35B055344540"
"19664 Woodward Ave","Soft Cloth Car Wash","Services","12.0","16/2/2017 00:00:00-05","0101000020E61000008527F4FA93C754C01AE1ED4108384540"
"7250 W Lafayette Blvd","Bee Be's Market","Retail","4.0","20/2/2017 00:00:00-05","0101000020E61000008CF50D4C6EC754C0F5BC1B0B0A274540"
"3435 2nd Ave","Grocer Farm Market","Retail","3.0","21/2/2017 00:00:00-05","0101000020E61000004510E7E104C454C00B7A6F0C012C4540"
"2889 W Grand Blvd","McDonald's","Retail","3.0","7/3/2017 00:00:00-05","0101000020E61000003012DA722EC554C012BF620D172F4540"
"9101 Woodward Ave","Marathon","Retail","10.0","6/11/2017 00:00:00-05","0101000020E6100000139B8F6B43C554C0620FED6305314540"
"8105 Fenkell St","Detroit Palace","Retail","10.0","10/3/2017 00:00:00-05","0101000020E61000004CE2AC889AC954C05F950B957F334540"
"18201 Mack Ave","McDonald's","Retail","5.0","20/3/2017 00:00:00-04","0101000020E610000050E3DEFC86BA54C012A452EC68344540"
"540 E State Fair","Bottle Stop","Retail","11.0","23/3/2017 00:00:00-04","0101000020E610000097E4805D4DC654C0501BD5E940384540"
"15015 Mack Ave","Maryland Liquor","Retail","5.0","24/3/2017 00:00:00-04","0101000020E610000079AD84EE92BC54C01283C0CAA1314540"
"19841 Schoolcraft Ave","Citgo","Retail","6.0","31/3/2017 00:00:00-04","0101000020E6100000C11DA8531ECF54C06C3D433866314540"
"3800 Conner St","Citgo","Retail","5.0","4/4/2017 00:00:00-04","0101000020E6100000D027F224E9BD54C0B037312427314540"
"14651 W 7 Mile Rd","Holbrook Automotive Parts #2","Services","12.0","6/4/2017 00:00:00-04","0101000020E61000002D42B11534CC54C06C0A647616374540"
"21221 W 7 Mile Rd","Holbrook Auto Parts","Services","8.0","6/4/2017 00:00:00-04","0101000020E610000078D2C26515D054C0C6E1CCAFE6364540"
"13301 Dexter Ave","Dexter-Waverly Market","Retail","10.0","6/4/2017 00:00:00-04","0101000020E61000000457790261C854C0AF997CB3CD314540"
"500 E Warren Ave","Food Pride Market","Retail","3.0","6/4/2017 00:00:00-04","0101000020E610000062DC0DA2B5C354C042B5C189E82D4540"
"3888 W Warren Ave","Big Top Liquor","Retail","3.0","6/4/2017 00:00:00-04","0101000020E6100000751DAA29C9C654C0AD4D637B2D2C4540"
"18054 Mt Elliot St","Randy's Market","Retail","11.0","7/4/2017 00:00:00-04","0101000020E610000029CFBC1C76C254C0F9F5436CB0364540"
"5611 Tarnow St","Sunoco","Retail","4.0","7/4/2017 00:00:00-04","0101000020E61000002D776682E1C854C002BC0512142B4540"
"19550 Plymouth Rd","Mobil","Retail","6.0","11/4/2017 00:00:00-04","0101000020E610000031B5A50EF2CE54C0B1DEA815A62F4540"
"6811 Gratiot Ave","Marathon","Retail","7.0","14/4/2017 00:00:00-04","0101000020E6100000815B77F354C154C003232F6B622F4540"
"1841 E State Fair","Citgo","Retail","11.0","17/4/2017 00:00:00-04","0101000020E61000005C035B2558C554C030A017EE5C384540"
"16342 W McNichols Rd","Princess Liquor","Retail","8.0","17/4/2017 00:00:00-04","0101000020E6100000B398D87C5CCD54C09224085740354540"
"7961 Mack Ave","Sunoco","Retail","7.0","18/4/2017 00:00:00-04","0101000020E61000008195438B6CC054C079B29B19FD2E4540"
"16200 W Warren Ave","Victory Liquor","Retail","6.0","19/4/2017 00:00:00-04","0101000020E61000001711C5E40DCD54C0A41820D1042C4540"
"9949 E Warren Ave","Sunoco","Retail","7.0","20/4/2017 00:00:00-04","0101000020E610000087A5811FD5BF54C0DB8AFD65F7304540"
"7305 Grand River Ave","Citgo","Retail","10.0","20/4/2017 00:00:00-04","0101000020E6100000508D976E12C754C0F486FBC8AD2D4540"
"7353 Kercheval St","Sunoco","Retail","7.0","28/4/2017 00:00:00-04","0101000020E6100000F2B4FCC055C054C02D98F8A3A82D4540"
"15750 Joy Rd","Fairlane Nursing Centre","Residential","6.0","13/6/2017 00:00:00-04","0101000020E6100000BFB67EFACFCC54C0419E5DBEF52D4540"
"2971 W Warren Ave","BP","Retail","3.0","28/4/2017 00:00:00-04","0101000020E61000003F73D6A71CC654C0F3E84658542C4540"
"20840 W Chicago Blvd","Scotty J's Liquor","Retail","6.0","3/5/2017 00:00:00-04","0101000020E6100000A3B1F677B6CF54C0F75965A6B42E4540"
"9400 Woodward Ave","Kenwood Market","Retail","3.0","5/5/2017 00:00:00-04","0101000020E61000009EEFA7C64BC554C097E13FDD40314540"
"11511 Wyoming Ave","Citgo","Retail","2.0","10/5/2017 00:00:00-04","0101000020E610000049BC3C9D2BCA54C019FF3EE3C22F4540"
"21746 Schoolcraft Ave","BP","Retail","6.0","10/5/2017 00:00:00-04","0101000020E61000001E3526C45CD054C05C57CC086F314540"
"13921 E Warren Ave","First Class","Retail","5.0","10/5/2017 00:00:00-04","0101000020E61000004B94BDA59CBD54C0BA2EFCE07C324540"
"8140 E 7 Mile Rd","East Seven Mile Apartments","Residential","11.0","10/5/2017 00:00:00-04","0101000020E61000007BBB253960C154C05C9198A086374540"
"17800 Woodward Ave","CDG Preferred Properties","Services","12.0","12/5/2017 00:00:00-04","0101000020E6100000261E5036E5C654C0BB0CFFE906364540"
"4924 Joy Rd","Chapel Hill Church","Services","10.0","12/5/2017 00:00:00-04","0101000020E6100000D174763238C854C01AA4E029E42E4540"
"19638 Van Dyke St","Motown Cafe and Grill","Retail","11.0","16/5/2017 00:00:00-04","0101000020E610000037397CD289C154C0B05758703F384540"
"14900 E 8 Mile Rd","Dunkin Donuts","Retail","9.0","18/5/2017 00:00:00-04","0101000020E61000003C4CFBE6FEBD54C00803CFBD87394540"
"8820 Wyoming Ave","Citgo","Retail","2.0","20/5/2017 00:00:00-04","0101000020E6100000B9C1508715CA54C05C04C6FA062E4540"
"650 Chene St","Chene Liquor Shop","Retail","7.0","22/5/2017 00:00:00-04","0101000020E6100000D998D71187C154C049DBF813952B4540"
"18320 W Chicago St","Cody Liquor","Retail","6.0","24/5/2017 00:00:00-04","0101000020E610000072DEFFC709CE54C01024EF1CCA2E4540"
"12050 Grand River Ave","Shell","Retail","2.0","26/5/2017 00:00:00-04","0101000020E610000053CE177B2FCA54C05E82531F48304540"
"10100 Mack Ave","Citgo","Retail","5.0","30/5/2017 00:00:00-04","0101000020E61000004B1DE4F560BF54C09BC6F65AD02F4540"
"1901 E 7 Mile Rd","Sunoco","Retail","11.0","30/5/2017 00:00:00-04","0101000020E6100000F3FFAA2347C554C090300C5872374540"
"3701 Joy Rd","Grand Liquor","Retail","10.0","31/5/2017 00:00:00-04","0101000020E6100000234C512E8DC754C01B2E724F572F4540"
"2915 John R St","The Carlton Lofts","Residential","3.0","1/6/2017 00:00:00-04","0101000020E610000012C138B874C354C0105A0F5F262C4540"
"20545 W 7 Mile Rd","Citgo","Retail","8.0","2/6/2017 00:00:00-04","0101000020E6100000001B1021AECF54C0B0726891ED364540"
"20800 W 7 Mile Rd","Valero","Retail","8.0","6/6/2017 00:00:00-04","0101000020E61000007250C24CDBCF54C0E8BD310400374540"
"24341 W 7 Mile Rd","Bellagio Liquor","Retail","8.0","13/6/2017 00:00:00-04","0101000020E6100000D061BEBC00D254C078279F1EDB364540"
