"record_id","street_num","street_dir","street_name","street_type","record_type","task","status","record_status_date","parcel_id","geom"
"ANN2004-03864","18430","","FORD RD","","Commercial Inspection","Issue CofC","Issued","5/11/2019 00:00:00","22000031-7","0101000020E6100000B0CF996B0FCE54C0C17E91BA2A2A4540"
"ANN2004-03870","19245","","SCHOOLCRAFT","","Commercial Inspection","Issue CofC","Issued","8/12/2021 00:00:00","22008929-33","0101000020E6100000928B91BABFCE54C0DC0AF9BC6B314540"
"ANN2004-03876","6420","","VAN DYKE","","Commercial Inspection","Issue CofC","Issued","20/9/2019 00:00:00","17009483-7","0101000020E61000006CFB5CDC4BC154C0785D9D338F314540"
"ANN2004-03879","12600",,"GRATIOT",,"Commercial Inspection","Issue CofC","Issued","21/4/2022 00:00:00","21028711-4","0101000020E6100000A3E408F53BBF54C02CABA7FF8A354540"
"ANN2004-03880","231","W","EIGHT MILE",,"Commercial Inspection","Issue CofC","Issued","1/8/2022 00:00:00","09008316-21","0101000020E6100000005F853DC6C654C06A70A11A2A394540"
"ANN2004-03881","800","E","SEVEN MILE","","Commercial Inspection","Issue CofC","Issued","17/12/2019 00:00:00","09007562-76","0101000020E61000003144B30721C654C07B05BD634F374540"
"ANN2004-03885","18900",,"FORD RD",,"Commercial Inspection","Issue CofC","Issued","9/8/2022 00:00:00","22000006.","0101000020E610000046D4F00F5BCE54C09EB34803272A4540"
"ANN2004-03886","12750","","SCHAEFER","","Commercial Inspection","Issue CofC","Issued","26/7/2021 00:00:00","22029805-21","0101000020E61000004548713E60CB54C0BD96D8C6EF304540"
"ANN2004-03887","10200",,"ROSA PARKS BLVD",,"Commercial Inspection","Issue CofC","Issued","29/7/2022 00:00:00","08007710-1","0101000020E61000007772FF929AC654C05E860E95F5304540"
"ANN2004-03888","12000","","CONANT","","Commercial Inspection","Issue CofC","Issued","19/1/2021 00:00:00","13024914-5","0101000020E6100000774047B98FC354C04E7471001F344540"
"ANN2004-03890","5944","E","DAVISON","","Commercial Inspection","Issue CofC","Issued","2/12/2021 00:00:00","13007406.","0101000020E6100000859CDDE0AFC254C04C37708A0E364540"
"ANN2004-03891","3600","E","DAVISON","","Commercial Inspection","Issue CofC","Issued","16/12/2020 00:00:00","09006352-8","0101000020E6100000C7F4CB20F4C354C0156ADD3822354540"
"ANN2004-03892","15880","","LIVERNOIS","","Commercial Inspection","Issue CofC","Issued","2/2/2021 00:00:00","12013223-7","0101000020E61000008BBF292AF7C854C035F7395B58344540"
"ANN2004-03894","3345","W","MCNICHOLS","","Commercial Inspection","Issue CofC","Issued","15/12/2020 00:00:00","12005616.","0101000020E61000008315A3F7A3C854C00DC0521A5D354540"
"ANN2004-03895","14202","E","EIGHT MILE",,"Commercial Inspection","Issue CofC","Issued","15/3/2022 00:00:00","21028161-72","0101000020E61000007FDBE02B7ABE54C0B8A09B477F394540"
"ANN2004-03899","5015","","LIVERNOIS","","Commercial Inspection","Issue CofC","Issued","25/1/2020 00:00:00","18006999.","0101000020E6100000A903FFDF01C854C07E71F7FF122B4540"
"ANN2004-03900","13825","","LIVERNOIS","","Commercial Inspection","Issue CofC","Issued","23/12/2021 00:00:00","16025279-86","0101000020E610000086B5DDCDF8C854C0301D3287E4314540"
"ANN2004-03901","5680",,"FRENCH",,"Commercial Inspection","Issue CofC","Issued","10/6/2022 00:00:00","21040220-5","0101000020E6100000BA5A0F47ACBF54C04308FCC324324540"
"ANN2004-03902","6401","W","EIGHT MILE","","Commercial Inspection","Issue CofC","Issued","3/3/2020 00:00:00","16017431-6","0101000020E6100000713BE66E1DC954C0419CE2AC10394540"
"ANN2004-03906","15444","W","SEVEN MILE","","Commercial Inspection","Issue CofC","Issued","16/11/2021 00:00:00","22017263.","0101000020E6100000F6DDA570C0CC54C01CEE757D25374540"
"ANN2004-03916","928","W","MCNICHOLS","","Commercial Inspection","Issue CofC","Issued","3/9/2020 00:00:00","02002496-500","0101000020E6100000817236B960C754C0615ED2BC7B354540"
"ANN2004-03920","16861","","WYOMING","","Commercial Inspection","Issue CofC","Issued","25/6/2021 00:00:00","16038281-90","0101000020E610000035A22FF945CA54C08895C2DD32354540"
"ANN2004-03922","11624",,"WHITTIER",,"Commercial Inspection","Issue CofC","Issued","25/8/2022 00:00:00","21072418-20","0101000020E6100000C848856789BD54C00D4446A9D9354540"
"ANN2004-03932","13333","","PURITAN","","Commercial Inspection","Issue CofC","Issued","18/2/2021 00:00:00","22011988.","0101000020E6100000322DBB4E55CB54C0F062828860344540"
"ANN2004-03942","15341","","GREENFIELD","","Commercial Inspection","Issue CofC","Issued","19/3/2019 00:00:00","22050850.","0101000020E610000056D37544BDCC54C060095AE688334540"
